,model
0,AAC-1 Toucan
1,AEGK
2,AT L98 Carvair
3,ATR 42-300
4,ATR-42-300
5,ATR-72-202
6,ATR-72-212
7,Aermacchi MB-339PAN (3 aircraft)
8,Aero Commander  520
9,Aero Commander 500-B
10,Aero Commander 500A
11,Aero Commander 560
12,Aero Commander 560-A
13,Aero Commander 560-F
14,Aero Commander 680
15,Aero Commander 680-E
16,Aero Commander 680E
17,Aero Commander 681
18,Aerospatiale 330G Puma
19,Aerospatiale 330J Puma
20,Aerospatiale 350B1
21,Aerospatiale 350D
22,Aerospatiale AS-350B
23,Aerospatiale AS-350BA
24,Aerospatiale AS350 Eurocopter  helicoper
25,Aerospatiale AS350BA
26,Aerospatiale AS350BA Rotocraft
27,Aerospatiale AS350D
28,Aerospatiale AS355-F1
29,Aerospatiale ATR-42-300
30,Aerospatiale ATR-42-512
31,Aerospatiale ATR-72
32,Aerospatiale Alenia ATR-42
33,Aerospatiale Alenia ATR-42-312
34,Aerospatiale BAe Concorde 101
35,Aerospatiale Caravelle 10B3
36,Aerospatiale Caravelle 10R
37,Aerospatiale Caravelle 3
38,Aerospatiale Caravelle 6N
39,Aerospatiale Caravelle 6R
40,Aerospatiale Caravelle Super 10B
41,Aerospatiale Corvette
42,Aerospatiale Nord 262A-33
43,Aerospatiale Puma
44,Aerospatiale SA-330J
45,Aerospatiale SA316B
46,Aerospatiale SA365N-1 Dauphin II
47,Aerospatiale SN-601 Corvette
48,Aerospeciale AS-350D
49,Aerostar 601
50,Aerostar 601P
51,Agusta A109A MK II
52,Airbus A-300-605R
53,Airbus A-310-204
54,Airbus A-310-324
55,Airbus A-310-324ET
56,Airbus A-320-233
57,Airbus A-330-243
58,Airbus A-340
59,Airbus A.300B4-203
60,Airbus A.320-214
61,Airbus A.330-301
62,Airbus A300
63,Airbus A300-600R
64,Airbus A300-622R
65,Airbus A300-B4-200
66,Airbus A300B2-101
67,Airbus A300B2-1C
68,Airbus A300B2-203
69,Airbus A300B4-203
70,Airbus A300B4-622R
71,Airbus A310-304
72,Airbus A310-324
73,Airbus A320-111
74,Airbus A320-211
75,Airbus A320-212
76,Airbus A320-214
77,Airbus A320-231
78,Airbus A320-232
79,Airbus A330-203
80,Airbus A330-321
81,AirbusA310-304
82,Airship
83,Airspeed AS.57 Ambassador 2
84,Airspeed Ambassador A5-57
85,Airspeed Oxford
86,Antonov 12
87,Antonov 12B
88,Antonov 12BK
89,Antonov 12BP
90,Antonov 12MGA
91,Antonov 12V
92,Antonov 24
93,Antonov 24B
94,Antonov 26B
95,Antonov 26B-100
96,Antonov 28
97,Antonov 2PF
98,Antonov 2R
99,Antonov 2TP
100,Antonov 32
101,Antonov 32B
102,Antonov 74T-200
103,Antonov 74TK-200
104,Antonov AN-10
105,Antonov AN-10A
106,Antonov AN-12
107,Antonov AN-12 (freighter)
108,Antonov AN-124
109,Antonov AN-124-100
110,Antonov AN-12B
111,Antonov AN-12BP
112,Antonov AN-12V
113,Antonov AN-140
114,Antonov AN-140-100
115,Antonov AN-2
116,Antonov AN-22
117,Antonov AN-22A
118,Antonov AN-24
119,Antonov AN-24 / Yakovlev Yak-40
120,Antonov AN-24B
121,Antonov AN-24N
122,Antonov AN-24RV
123,Antonov AN-24RV / Soviet Air Force TU-16
124,Antonov AN-24V
125,Antonov AN-26
126,Antonov AN-26A
127,Antonov AN-26B
128,Antonov AN-26V
129,Antonov AN-28
130,Antonov AN-28 PZL-MieleM-28 Sky Truck
131,Antonov AN-2TP
132,Antonov AN-30
133,Antonov AN-32
134,Antonov AN-32 Transport
135,Antonov AN-32A
136,Antonov AN-32B
137,Antonov AN-72
138,Antonov AN-8
139,Antonov AN-9
140,Antonov An-10
141,Antonov An-10A
142,Antonov An-12
143,Antonov An-12 - Ilyshin IL-14
144,Antonov An-124
145,Antonov An-12AP
146,Antonov An-12B
147,Antonov An-12BP
148,Antonov An-12PL
149,Antonov An-12TB
150,Antonov An-2
151,Antonov An-24
152,Antonov An-24B
153,Antonov An-24RV
154,Antonov An-26
155,Antonov An-28
156,Antonov An-2R
157,Antonov An-2T
158,Antonov An-32
159,Antonov An-32B
160,Antonov An-72
161,Arado V1
162,Arava 201
163,Armstrong Whitworth Argosy C-1
164,Armstrong Whitworth Argosy II
165,Armstrong-Whitworth F-K-8
166,Armstrong-Withworth Atlanta
167,Avia 14
168,Avia 14-40
169,Avia 14M-40
170,Avia 14T
171,Aviation Traders ATL-98 Carvair
172,Avro  685 York I
173,Avro 10
174,Avro 683 Lancaster
175,Avro 685 York
176,Avro 685 York 1
177,Avro 685 York C-1
178,Avro 685 York C1
179,Avro 685 York I
180,Avro 688
181,Avro 688 Super Trader
182,Avro 688 Tudor 4B
183,Avro 688 Tudor I
184,Avro 689 Tudor 5
185,Avro 691 Lancastrian
186,Avro 691 Lancastrian 1
187,Avro 691 Lancastrian 3
188,Avro 691 Lancastrian IV
189,Avro Anson
190,Avro Lancaster
191,Avro Lancaster 1
192,Avro Ninteen I
193,Avro Shackleton AEW-2
194,Avro Shackleton M-2 / Avro Shakleton M-2
195,Avro Shackleton MR-1
196,Avro Shackleton MR-2
197,Avro Shackleton MR-3
198,Avro Shackleton MR3
199,Avro York C1
200,Aérospatiale SE-210 Caravelle
201,Aérospatiale/Aeritalia ATR-72-202
202,B-17C Flying Fortress
203,B17G Flying Fortress
204,BAC One Eleven 204AF
205,BAC One-Eleven  424EU
206,BAC One-Eleven 200AB
207,BAC One-Eleven 203AE
208,BAC One-Eleven 402AP
209,BAC One-Eleven 420EL
210,BAC One-Eleven 515FB
211,BAC One-Eleven 516FP
212,BAC One-Eleven 524FF
213,BAC One-Eleven 525FT
214,BAC One-Eleven 527FK
215,BAC One-Eleven 528FL
216,BAC One-Eleven 529FR
217,BAC Super VC-10 1154
218,BAC VC-10-1101
219,BAE Avro RJ100
220,BAe 146-200
221,BAe 3101 Jetstream 31
222,BAe Avro RJ-100
223,BAe HS-748-232 Srs 2A
224,BAe Jetstream 3101-31
225,BAe-748
226,BFW M-18
227,Bae Jetstream 3201
228,Bambardier CRJ200
229,Bandeirante EMB-110P1
230,Beech 200
231,Beech 200 Super King Air
232,Beech 58
233,Beech 65-A80 Queenaire
234,Beech A36
235,Beech A90 King Air
236,Beech AT-11
237,Beech B60
238,Beech BE-1900D
239,Beech BE-55
240,Beech BE-70
241,Beech Baron
242,Beech Baron 95-B55
